Occupation,Detailed Work Activity,Code,Group
Acute Care Nurses,Prescribe medications.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Analyze test data or images to inform diagnosis or treatment.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Communicate detailed medical information to patients or family members.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Collect biological specimens from patients.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Refer patients to other healthcare practitioners or health resources.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Operate diagnostic or therapeutic medical instruments or equipment.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Prepare medical supplies or equipment for use.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Order medical diagnostic or clinical tests.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Collaborate with healthcare professionals to plan or provide treatment.,29-1141.01,Allied Health Professionals
Acute Care Nurses,"Assess patient work, living, or social environments.",29-1141.01,Allied Health Professionals
Acute Care Nurses,Process healthcare paperwork.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Maintain medical or professional knowledge.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Train medical providers.,29-1141.01,Allied Health Professionals
Acute Care Nurses,"Treat acute illnesses, infections, or injuries.",29-1141.01,Allied Health Professionals
Acute Care Nurses,Evaluate treatment options to guide medical decisions.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Advise patients on healthcare system processes.,29-1141.01,Allied Health Professionals
Acute Care Nurses,Establish nursing policies or standards.,29-1141.01,Allied Health Professionals
Advanced Practice Psychiatric Nurses,"Evaluate patient functioning, capabilities, or health.",29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Diagnose medical conditions.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Explain medical procedures or test results to patients or family members.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Monitor patient progress or responses to treatments.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Prescribe medications.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Record patient medical histories.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Analyze patient data to determine patient needs or treatment goals.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Develop medical treatment plans.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Maintain medical or professional knowledge.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Treat patients using psychological therapies.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Collaborate with healthcare professionals to plan or provide treatment.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Refer patients to other healthcare practitioners or health resources.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Analyze test data or images to inform diagnosis or treatment.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Maintain inventory of medical supplies or equipment.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Establish nursing policies or standards.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Administer intravenous medications.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Examine patients to assess general physical condition.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Administer basic health care or medical treatments.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Design public or employee health programs.,29-1141.02,Allied Health Professionals
Advanced Practice Psychiatric Nurses,Teach health management classes.,29-1141.02,Allied Health Professionals
Critical Care Nurses,Analyze test data or images to inform diagnosis or treatment.,29-1141.03,Allied Health Professionals
Critical Care Nurses,"Monitor patient conditions during treatments, procedures, or activities.",29-1141.03,Allied Health Professionals
Critical Care Nurses,Treat medical emergencies.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Monitor patient progress or responses to treatments.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Administer intravenous medications.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Administer non-intravenous medications.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Develop medical treatment plans.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Test patient heart or lung functioning.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Record patient medical histories.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Collaborate with healthcare professionals to plan or provide treatment.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Collect biological specimens from patients.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Operate diagnostic or therapeutic medical instruments or equipment.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Prepare medical supplies or equipment for use.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Administer blood or other fluids intravenously.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Interact with patients to build rapport or provide emotional support.,29-1141.03,Allied Health Professionals
Critical Care Nurses,"Assess patient work, living, or social environments.",29-1141.03,Allied Health Professionals
Critical Care Nurses,Assist healthcare practitioners during examinations or treatments.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Examine medical instruments or equipment to ensure proper operation.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Supervise patient care personnel.,29-1141.03,Allied Health Professionals
Critical Care Nurses,"Evaluate patient functioning, capabilities, or health.",29-1141.03,Allied Health Professionals
Critical Care Nurses,Maintain medical or professional knowledge.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Establish nursing policies or standards.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Conduct health or safety training programs.,29-1141.03,Allied Health Professionals
Critical Care Nurses,Train medical providers.,29-1141.03,Allied Health Professionals
Clinical Nurse Specialists,Collaborate with healthcare professionals to plan or provide treatment.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Establish nursing policies or standards.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Supervise patient care personnel.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Train medical providers.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Maintain medical or professional knowledge.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Advise medical personnel regarding healthcare issues.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Follow protocols or regulations for healthcare activities.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Support the professional development of others.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Develop medical treatment plans.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Analyze patient data to determine patient needs or treatment goals.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,"Treat acute illnesses, infections, or injuries.",29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,"Evaluate patient functioning, capabilities, or health.",29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,"Monitor patient conditions during treatments, procedures, or activities.",29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Develop procedures to evaluate organizational activities.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,"Collect medical information from patients, family members, or other medical professionals.",29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Examine patients to assess general physical condition.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Manage healthcare operations.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Communicate detailed medical information to patients or family members.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Conduct research to increase knowledge about medical issues.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Monitor medical facility activities to ensure adherence to standards or regulations.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Develop educational programs.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Diagnose medical conditions.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Prescribe medications.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Prepare reports summarizing patient diagnostic or care activities.,29-1141.04,Allied Health Professionals
Clinical Nurse Specialists,Teach classes in area of specialization.,29-1141.04,Allied Health Professionals
Nurse Anesthetists,Implement advanced life support techniques.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Administer intravenous medications.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Treat medical emergencies.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,"Monitor patient conditions during treatments, procedures, or activities.",29-1151.00,Allied Health Professionals
Nurse Anesthetists,Prescribe medications.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Administer blood or other fluids intravenously.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Prepare medications or medical solutions.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Prepare medical supplies or equipment for use.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Select medical equipment for addressing patient needs.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Administer anesthetics or sedatives to control pain.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Analyze patient data to determine patient needs or treatment goals.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Process healthcare paperwork.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Develop medical treatment plans.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Maintain medical equipment or instruments.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,"Collect medical information from patients, family members, or other medical professionals.",29-1151.00,Allied Health Professionals
Nurse Anesthetists,Examine medical instruments or equipment to ensure proper operation.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Examine patients to assess general physical condition.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Record patient medical histories.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Collaborate with healthcare professionals to plan or provide treatment.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Analyze test data or images to inform diagnosis or treatment.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Operate diagnostic imaging equipment.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Administer basic health care or medical treatments.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Collect biological specimens from patients.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Maintain medical or professional knowledge.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Train medical providers.,29-1151.00,Allied Health Professionals
Nurse Anesthetists,Clean medical equipment or facilities.,29-1151.00,Allied Health Professionals
Nurse Midwives,Care for women during pregnancy and childbirth.,29-1161.00,Allied Health Professionals
Nurse Midwives,Examine patients to assess general physical condition.,29-1161.00,Allied Health Professionals
Nurse Midwives,Measure the physical or physiological attributes of patients.,29-1161.00,Allied Health Professionals
Nurse Midwives,Administer basic health care or medical treatments.,29-1161.00,Allied Health Professionals
Nurse Midwives,Record patient medical histories.,29-1161.00,Allied Health Professionals
Nurse Midwives,Develop medical treatment plans.,29-1161.00,Allied Health Professionals
Nurse Midwives,Prescribe medications.,29-1161.00,Allied Health Professionals
Nurse Midwives,Explain medical procedures or test results to patients or family members.,29-1161.00,Allied Health Professionals
Nurse Midwives,Analyze test data or images to inform diagnosis or treatment.,29-1161.00,Allied Health Professionals
Nurse Midwives,Order medical diagnostic or clinical tests.,29-1161.00,Allied Health Professionals
Nurse Midwives,Treat medical emergencies.,29-1161.00,Allied Health Professionals
Nurse Midwives,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1161.00,Allied Health Professionals
Nurse Midwives,Test patient nervous system functioning.,29-1161.00,Allied Health Professionals
Nurse Midwives,Inform medical professionals regarding patient conditions and care.,29-1161.00,Allied Health Professionals
Nurse Midwives,Prepare reports summarizing patient diagnostic or care activities.,29-1161.00,Allied Health Professionals
Nurse Midwives,Collaborate with healthcare professionals to plan or provide treatment.,29-1161.00,Allied Health Professionals
Nurse Midwives,Refer patients to other healthcare practitioners or health resources.,29-1161.00,Allied Health Professionals
Nurse Midwives,Maintain medical or professional knowledge.,29-1161.00,Allied Health Professionals
Nurse Midwives,Train medical providers.,29-1161.00,Allied Health Professionals
Nurse Midwives,Teach medical procedures to healthcare personnel.,29-1161.00,Allied Health Professionals
Nurse Midwives,Establish nursing policies or standards.,29-1161.00,Allied Health Professionals
Nurse Midwives,Conduct health or safety training programs.,29-1161.00,Allied Health Professionals
Nurse Midwives,Conduct research to increase knowledge about medical issues.,29-1161.00,Allied Health Professionals
Nurse Practitioners,Record patient medical histories.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Develop medical treatment plans.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Analyze test data or images to inform diagnosis or treatment.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Communicate detailed medical information to patients or family members.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Diagnose medical conditions.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Prescribe medications.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Treat medical emergencies.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Treat chronic diseases or disorders.,29-1171.00,Allied Health Professionals
Nurse Practitioners,"Treat acute illnesses, infections, or injuries.",29-1171.00,Allied Health Professionals
Nurse Practitioners,"Monitor patient conditions during treatments, procedures, or activities.",29-1171.00,Allied Health Professionals
Nurse Practitioners,Prescribe treatments or therapies.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Advise patients on effects of health conditions or treatments.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Operate diagnostic imaging equipment.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Order medical diagnostic or clinical tests.,29-1171.00,Allied Health Professionals
Nurse Practitioners,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1171.00,Allied Health Professionals
Nurse Practitioners,Maintain medical or professional knowledge.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Refer patients to other healthcare practitioners or health resources.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Collaborate with healthcare professionals to plan or provide treatment.,29-1171.00,Allied Health Professionals
Nurse Practitioners,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1171.00,Allied Health Professionals
Nurse Practitioners,Examine patients to assess general physical condition.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Schedule patient procedures or appointments.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Follow protocols or regulations for healthcare activities.,29-1171.00,Allied Health Professionals
Nurse Practitioners,"Apply bandages, dressings, or splints.",29-1171.00,Allied Health Professionals
Nurse Practitioners,Immunize patients.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Advise patients on healthcare system processes.,29-1171.00,Allied Health Professionals
Nurse Practitioners,Supervise patient care personnel.,29-1171.00,Allied Health Professionals
Audiologists,Record patient medical histories.,29-1181.00,Allied Health Professionals
Audiologists,Analyze test data or images to inform diagnosis or treatment.,29-1181.00,Allied Health Professionals
Audiologists,Adjust prostheses or other assistive devices.,29-1181.00,Allied Health Professionals
Audiologists,Examine patients to assess general physical condition.,29-1181.00,Allied Health Professionals
Audiologists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1181.00,Allied Health Professionals
Audiologists,Test patient hearing.,29-1181.00,Allied Health Professionals
Audiologists,Monitor patient progress or responses to treatments.,29-1181.00,Allied Health Professionals
Audiologists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1181.00,Allied Health Professionals
Audiologists,Maintain medical or professional knowledge.,29-1181.00,Allied Health Professionals
Audiologists,Refer patients to other healthcare practitioners or health resources.,29-1181.00,Allied Health Professionals
Audiologists,Administer basic health care or medical treatments.,29-1181.00,Allied Health Professionals
Audiologists,Advise medical personnel regarding healthcare issues.,29-1181.00,Allied Health Professionals
Audiologists,Recommend types of assistive devices.,29-1181.00,Allied Health Professionals
Audiologists,Enter patient or treatment data into computers.,29-1181.00,Allied Health Professionals
Audiologists,Collaborate with healthcare professionals to plan or provide treatment.,29-1181.00,Allied Health Professionals
Audiologists,Develop medical treatment plans.,29-1181.00,Allied Health Professionals
Audiologists,Supervise patient care personnel.,29-1181.00,Allied Health Professionals
Audiologists,Train medical providers.,29-1181.00,Allied Health Professionals
Audiologists,Conduct research to increase knowledge about medical issues.,29-1181.00,Allied Health Professionals
Audiologists,Present medical research reports.,29-1181.00,Allied Health Professionals
Audiologists,Manage healthcare operations.,29-1181.00,Allied Health Professionals
Audiologists,Communicate health and wellness information to the public.,29-1181.00,Allied Health Professionals
Audiologists,Conduct health or safety training programs.,29-1181.00,Allied Health Professionals
Audiologists,Inspect work environments to ensure safety.,29-1181.00,Allied Health Professionals
Audiologists,Merchandise healthcare products or services.,29-1181.00,Allied Health Professionals
Audiologists,Develop health assessment methods or programs.,29-1181.00,Allied Health Professionals
Anesthesiologists,"Monitor patient conditions during treatments, procedures, or activities.",29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Implement advanced life support techniques.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Prepare patients physically for medical procedures.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Record patient medical histories.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Administer anesthetics or sedatives to control pain.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Examine patients to assess general physical condition.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Position patients for treatment or examination.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Collaborate with healthcare professionals to plan or provide treatment.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Monitor patient progress or responses to treatments.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Order medical diagnostic or clinical tests.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Train medical providers.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Direct healthcare delivery programs.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Prescribe medications.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Prescribe treatments or therapies.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Refer patients to other healthcare practitioners or health resources.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Diagnose medical conditions.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Supervise patient care personnel.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Schedule medical facility use.,29-1211.00,Medical and Surgical Specialists
Anesthesiologists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1211.00,Medical and Surgical Specialists
Anesthesiologists,Conduct research to increase knowledge about medical issues.,29-1211.00,Medical and Surgical Specialists
Cardiologists,Test patient heart or lung functioning.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Analyze test data or images to inform diagnosis or treatment.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Operate on patients to treat conditions.,29-1212.00,Medical and Surgical Specialists
Cardiologists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1212.00,Medical and Surgical Specialists
Cardiologists,Administer medical substances for imaging or other procedures.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Advise communities or institutions regarding health or safety issues.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Assess physical conditions of patients to aid in diagnosis or treatment.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Calculate numerical data for medical activities.,29-1212.00,Medical and Surgical Specialists
Cardiologists,"Collect medical information from patients, family members, or other medical professionals.",29-1212.00,Medical and Surgical Specialists
Cardiologists,Conduct diagnostic tests to determine patient health.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Conduct research to increase knowledge about medical issues.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Confer with clients to discuss treatment plans or progress.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Confer with other professionals to plan patient care.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Develop medical treatment plans.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Explain medical procedures or test results to patients or family members.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Monitor patient progress or responses to treatments.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Monitor patients following surgeries or other treatments.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Operate diagnostic imaging equipment.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Order medical diagnostic or clinical tests.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Prescribe medications.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Record patient medical histories.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Refer patients to other healthcare practitioners or health resources.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Supervise patient care personnel.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Train medical providers.,29-1212.00,Medical and Surgical Specialists
Cardiologists,Treat medical emergencies.,29-1212.00,Medical and Surgical Specialists
Dermatologists,Examine patients to assess general physical condition.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Treat chronic diseases or disorders.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Diagnose medical conditions.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Operate on patients to treat conditions.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Advise patients on preventive care techniques.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Order medical diagnostic or clinical tests.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Record patient medical histories.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Prescribe medications.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Advise medical personnel regarding healthcare issues.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Maintain medical or professional knowledge.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Refer patients to other healthcare practitioners or health resources.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Train medical providers.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Conduct research to increase knowledge about medical issues.,29-1213.00,Medical and Surgical Specialists
Dermatologists,Analyze patient data to determine patient needs or treatment goals.,29-1213.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Analyze patient data to determine patient needs or treatment goals.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Confer with other professionals to plan patient care.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Treat medical emergencies.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Advise patients on effects of health conditions or treatments.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Analyze test data or images to inform diagnosis or treatment.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,"Collect medical information from patients, family members, or other medical professionals.",29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Conduct diagnostic tests to determine patient health.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Diagnose medical conditions.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,"Evaluate patient functioning, capabilities, or health.",29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Evaluate patient outcomes to determine effectiveness of treatments.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Evaluate treatment options to guide medical decisions.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,"Monitor patient conditions during treatments, procedures, or activities.",29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Monitor patient progress or responses to treatments.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Operate on patients to treat conditions.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Order medical diagnostic or clinical tests.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Prescribe medications.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Record patient medical histories.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Refer patients to other healthcare practitioners or health resources.,29-1214.00,Medical and Surgical Specialists
Emergency Medicine Physicians,Supervise patient care personnel.,29-1214.00,Medical and Surgical Specialists
Family Medicine Physicians,Analyze test data or images to inform diagnosis or treatment.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,"Collect medical information from patients, family members, or other medical professionals.",29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Immunize patients.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Order medical diagnostic or clinical tests.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Prescribe medications.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Prescribe treatments or therapies.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Record patient medical histories.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Explain medical procedures or test results to patients or family members.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Monitor patient progress or responses to treatments.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Advise communities or institutions regarding health or safety issues.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Supervise patient care personnel.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Refer patients to other healthcare practitioners or health resources.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Collaborate with healthcare professionals to plan or provide treatment.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Design public or employee health programs.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Direct healthcare delivery programs.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Operate on patients to treat conditions.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Prepare official health documents or records.,29-1215.00,Medical and Surgical Specialists
Family Medicine Physicians,Train medical providers.,29-1215.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Analyze test data or images to inform diagnosis or treatment.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Treat chronic diseases or disorders.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Administer non-intravenous medications.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Prescribe medications.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Prescribe treatments or therapies.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,"Treat acute illnesses, infections, or injuries.",29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Diagnose medical conditions.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Explain medical procedures or test results to patients or family members.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Advise communities or institutions regarding health or safety issues.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Monitor patient progress or responses to treatments.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Refer patients to other healthcare practitioners or health resources.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,"Collect medical information from patients, family members, or other medical professionals.",29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Record patient medical histories.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Advise medical personnel regarding healthcare issues.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Immunize patients.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Supervise patient care personnel.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Conduct research to increase knowledge about medical issues.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Operate on patients to treat conditions.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Design public or employee health programs.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Direct healthcare delivery programs.,29-1216.00,Medical and Surgical Specialists
General Internal Medicine Physicians,Prepare official health documents or records.,29-1216.00,Medical and Surgical Specialists
Neurologists,"Collect medical information from patients, family members, or other medical professionals.",29-1217.00,Medical and Surgical Specialists
Neurologists,Analyze test data or images to inform diagnosis or treatment.,29-1217.00,Medical and Surgical Specialists
Neurologists,Test patient nervous system functioning.,29-1217.00,Medical and Surgical Specialists
